FID,FID_,address,adname,adcode,pname,cityname,name,long,lat,_id,type,data_proce
152,5109,小汤山大柳树环岛北800米东御汤山别墅区东门内(九华山庄西门对面),昌平区,110114,北京市,北京市,御香宫,116.405777,40.18442,7#20170618#c6441db64585b2c2cf38cafaf105c9b5,餐饮服务;餐饮相关场所;餐饮相关, 
153,5136,京榆旧线与潞苑南大街交叉口北50米,通州区,110112,北京市,北京市,自酿啤酒,116.672189,39.928968,c#20170621#f750fb8a29803134ca9566af764d3145,餐饮服务;餐饮相关场所;餐饮相关, 
154,5143,香园路香海园57号楼1层57-2号,大兴区,110115,北京市,北京市,57号烤肉(香园路店),116.32141,39.773463,r#20170618#be4ba0a42d36d45312a35190c65f0abd,餐饮服务;餐饮相关场所;餐饮相关, 
155,5197,鲁谷街道六合园底商12号,石景山区,110107,北京市,北京市,悠香卤味坊,116.217149,39.898537,i#20170618#5f0fab122830659cdd569b4616afe473,餐饮服务;餐饮相关场所;餐饮相关, 
156,5220,平行路与琉陶路交叉口东北50米,房山区,110111,北京市,北京市,兴礼会楠副食店,116.082796,39.596878,r#20170618#347cff0ea8ffc13d832cd58c0171dc1d,餐饮服务;餐饮相关场所;餐饮相关, 
157,5240,西三旗安宁北里8号泰山饭店1层,海淀区,110108,北京市,北京市,素虎(西三旗店),116.329137,40.049639,4#20170618#e8f32987254f98b2902b117d08858030,餐饮服务;餐饮相关场所;餐饮相关, 
158,5250,杨庄路63号院华联生活超市,通州区,110112,北京市,北京市,春女辣白菜(杨庄店),116.631794,39.902658,y#20170618#cb9a41aabb85cf7e63c11429a18a321d,餐饮服务;餐饮相关场所;餐饮相关, 
159,5301,广安门南街34号附近,西城区,110102,北京市,北京市,老鸭汤炒菜盖饭,116.350542,39.877983,h#20170617#4631f50abb0f1409fb8f6f90901bd6b4,餐饮服务;餐饮相关场所;餐饮相关, 
160,5321,辛屯街82号,通州区,110112,北京市,北京市,鲁提辖熟食铺,116.547685,39.757145,s#20170618#bdbf6785730542c56f42eaa679b806bd,餐饮服务;餐饮相关场所;餐饮相关, 
161,5371,西三路西100米,大兴区,110115,北京市,北京市,老北京脆皮烤鸭,116.411922,39.763168,b#20170618#e8c1ca1cf5efda7d52ec270a81909e69,餐饮服务;餐饮相关场所;餐饮相关, 
162,5405,西红门欣旺北大街宏大北园七号楼,大兴区,110115,北京市,北京市,月色江南,116.340534,39.799874,6#20170618#6fab5a3e14045ce7568e9d53d1b72d16,餐饮服务;餐饮相关场所;餐饮相关, 
163,5439,良乡镇长虹小区北门,房山区,110111,北京市,北京市,三生缘手抓饼(南关西路),116.138477,39.72635,x#20170618#6a897ac33b8e7f8373d2a724cb4042b6,餐饮服务;餐饮相关场所;餐饮相关, 
164,5529,李桥镇馨港庄园二区12楼(喜式蛋糕店后面),顺义区,110113,北京市,北京市,猫娜纯种猫咪会所,116.670272,40.033675,7#20170618#54cef163447db3d09a187350d1415fb3,餐饮服务;餐饮相关场所;餐饮相关, 
165,5563,马家堡西路公益西桥乐天玛特2层,丰台区,110106,北京市,北京市,久久丫(公益西桥店),116.368903,39.832874,j#20170618#2d41af3fe4760064ed60d2568faeffc3,餐饮服务;餐饮相关场所;餐饮相关, 
166,5599,宏福路鸿坤广场3层F3-01,大兴区,110115,北京市,北京市,全职奶奶,116.340178,39.790835,6#20170618#921e2c264fc985bc82ebe2f22aa36e93,餐饮服务;餐饮相关场所;餐饮相关, 
167,5632,回龙观镇龙腾苑五区14号楼1层2号-2,昌平区,110114,北京市,北京市,滒润(回龙观店),116.334859,40.074249,4#20170618#aa9138fca516445b04426436de3b761c,餐饮服务;餐饮相关场所;餐饮相关, 
168,5684,玉桥中路梨园东里2号(北京梨园东里农贸中心D区26号),通州区,110112,北京市,北京市,吕涛熟食店,116.685702,39.884527,0#20170618#ae0b3983102f1d56d543e26b7596a8b5,餐饮服务;餐饮相关场所;餐饮相关, 
169,5709,永大路北50米,海淀区,110108,北京市,北京市,第1佳大鸡排(永丰屯店),116.225509,40.07697,m#20170618#97dd0abbed45e3255ee7124f31ce9ec8,餐饮服务;餐饮相关场所;餐饮相关, 
170,5745,昌平镇东环路23-8号,昌平区,110114,北京市,北京市,晨光烧饼(昌平总店),116.239602,40.223502,e#20170618#c26700ca026b7a779000f4cb83715c23,餐饮服务;餐饮相关场所;餐饮相关, 
171,5763,树村路甲1号院,海淀区,110108,北京市,北京市,饺踏食地,116.300792,40.023077,7#20170618#6a8899b2509e35842cff73c2fa371393,餐饮服务;餐饮相关场所;餐饮相关, 
172,5792,窦店镇水墨林溪小区商业街底商27-1,房山区,110111,北京市,北京市,吉祥馄饨(水墨林溪店),116.066326,39.686847,9#20170618#d864bf0364c69ab6f2d781c436884b65,餐饮服务;餐饮相关场所;餐饮相关, 
173,5796,河南寨镇北金沟屯村平安街甲10号,密云区,110118,北京市,北京市,沙县小吃店,116.825307,40.32656,h#20170618#a6e91945be38df412246518901e43552,餐饮服务;餐饮相关场所;餐饮相关, 
174,5821,马驹桥镇东店村,通州区,110112,北京市,北京市,鹏程熟食,116.55852,39.755488,5#20170618#127c2e133fbca7775e8eb69a3d8b1fdb,餐饮服务;餐饮相关场所;餐饮相关, 
175,5829,太平桥西路70号附近,丰台区,110106,北京市,北京市,美妙食刻(太平桥西路),116.311515,39.881848,5#20170618#ae9bea7411bfac7718ed918dad4244e1,餐饮服务;餐饮相关场所;餐饮相关, 
176,5877,马连道南街(太平桥首航超市西侧),丰台区,110106,北京市,北京市,山东呛面馒头(西局东街),116.324653,39.876033,a#20170618#66e008657a376968ace1421042a7c180,餐饮服务;餐饮相关场所;餐饮相关, 
177,5881,仁和地区站前东街2号(顺欣春峰大卖场一层A区50号),顺义区,110113,北京市,北京市,好哥酸辣粉,116.656665,40.12582,x#20170618#3c0bb92e1e42a674738c55470dd1e399,餐饮服务;餐饮相关场所;餐饮相关, 
178,5916,海淀大街与彩和坊路交汇处,海淀区,110108,北京市,北京市,虎头军煎饼(中关村店),116.307904,39.982877,d#20170618#21e61a3142cb91e16d567e1ee64a164b,餐饮服务;餐饮相关场所;餐饮相关, 
179,5983, ,顺义区,110113,北京市,北京市,烩面馆,116.59997,40.040269,t#20170618#cb3092d02d3ffd71554e335bcda35d69,餐饮服务;餐饮相关场所;餐饮相关, 
180,5985,兴云路与果园中街交叉口东南100米,密云区,110118,北京市,北京市,天津正宗石磨煎饼,116.821674,40.371033,9#20170618#c68d839befcda7f846ff8abc38cd87c2,餐饮服务;餐饮相关场所;餐饮相关, 
181,5987,南三环中路与蒲黄榆路交叉口西150米,丰台区,110106,北京市,北京市,外婆红烧肉,116.420685,39.857647,n#20170618#76bffc189b0666a67d70452e4ba7560e,餐饮服务;餐饮相关场所;餐饮相关, 
182,5989,晓月中路西50米,丰台区,110106,北京市,北京市,土家酱香饼(晓月中路),116.238356,39.83778,j#20170618#20b9c4215b4ba483e79ff5c6a8fe8ed7,餐饮服务;餐饮相关场所;餐饮相关, 
